"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.241944167E-1,4.221221924E-2,2.261796570E-1,9.836943970E0,9.839634433E0
7.342254167E-1,5.149291992E-2,2.213896179E-1,9.810748444E0,9.813381166E0
7.442564166E-1,3.832031250E-2,2.255809021E-1,9.792037354E0,9.794710344E0
7.542884166E-1,3.772155762E-2,2.204914856E-1,9.819131012E0,9.821678738E0
7.643194166E-1,2.978805542E-2,2.179467773E-1,9.823771362E0,9.826233862E0
7.743504166E-1,2.215393066E-2,2.101629639E-1,9.822723541E0,9.824996541E0
7.843824166E-1,3.038681030E-2,2.210902405E-1,9.807904358E0,9.810443015E0
7.944134166E-1,4.640350342E-2,2.174977112E-1,9.823771362E0,9.826288329E0
8.044444167E-1,3.832031250E-2,2.225871277E-1,9.827513580E0,9.830108679E0
8.144764167E-1,3.951782227E-2,2.044747925E-1,9.826316071E0,9.828522733E0
8.245074166E-1,3.457809448E-2,2.216889954E-1,9.810748444E0,9.813313746E0
8.345384166E-1,4.730163574E-2,2.182461548E-1,9.827663269E0,9.830200108E0
8.445704166E-1,4.086502075E-2,2.152523804E-1,9.824968872E0,9.827411504E0
8.546014166E-1,5.972579956E-2,2.251318359E-1,9.818981323E0,9.821743518E0
8.646324166E-1,5.538482666E-2,2.145039368E-1,9.809101868E0,9.811603277E0
8.746644167E-1,5.224136353E-2,2.116598511E-1,9.815388794E0,9.817809645E0
8.846954167E-1,5.912704468E-2,2.136058044E-1,9.809850311E0,9.812353774E0
8.947264167E-1,6.855743408E-2,2.200424194E-1,9.812844086E0,9.815550307E0
9.047584166E-1,5.313949585E-2,2.318678284E-1,9.835896149E0,9.838772258E0
9.147894166E-1,5.179229736E-2,2.158511353E-1,9.814939728E0,9.817449568E0
9.248214166E-1,6.167175293E-2,2.128573608E-1,9.809251556E0,9.811754571E0
9.348524166E-1,4.625381470E-2,2.122586060E-1,9.813442841E0,9.815847061E0
9.448834166E-1,3.517684937E-2,2.344125366E-1,9.829908600E0,9.832766128E0
9.549150416E-1,4.520599365E-2,2.227368164E-1,9.827214203E0,9.829842026E0
9.649460416E-1,4.580474854E-2,2.165995789E-1,9.806557159E0,9.809055855E0
9.749770416E-1,3.682342529E-2,2.176473999E-1,9.808054047E0,9.810537729E0
9.850090416E-1,4.415817261E-2,2.154020691E-1,9.813742218E0,9.816205189E0
9.950400416E-1,4.340972900E-2,2.270777893E-1,9.815837860E0,9.818560059E0
1.005071042E0,3.847000122E-2,2.242337036E-1,9.804162140E0,9.806801515E0
1.015103042E0,4.819976807E-2,2.279759216E-1,9.823621674E0,9.826384840E0
1.025134042E0,4.101470947E-2,2.207908630E-1,9.839338989E0,9.841901369E0
1.035165042E0,4.864883423E-2,2.198927307E-1,9.829309845E0,9.831889521E0
1.045197042E0,3.637435913E-2,2.216889954E-1,9.819430389E0,9.821999912E0
1.055228042E0,3.802093506E-2,2.131567383E-1,9.824519806E0,9.826905454E0
1.065259042E0,4.221221924E-2,2.131567383E-1,9.814640350E0,9.817045527E0
1.075291042E0,4.400848389E-2,2.146536255E-1,9.822424164E0,9.824867906E0
1.085322042E0,4.086502075E-2,2.173480225E-1,9.812844086E0,9.815335917E0
1.095353042E0,4.969665527E-2,2.192939758E-1,9.810449066E0,9.813025552E0
1.105385042E0,4.775070190E-2,2.121089172E-1,9.826016693E0,9.828421764E0
1.115416042E0,4.370910645E-2,2.228865051E-1,9.817035370E0,9.819662537E0
1.125447042E0,4.595443726E-2,2.185455322E-1,9.786049805E0,9.788597690E0
1.135479042E0,5.388793945E-2,2.185455322E-1,9.809251556E0,9.811833782E0
1.145510042E0,5.688171387E-2,2.101629639E-1,9.829010468E0,9.831421605E0
1.155541042E0,5.074447632E-2,2.139051819E-1,9.827513580E0,9.829972207E0
1.165573042E0,6.077362061E-2,2.209405518E-1,9.806108093E0,9.808785047E0
1.175604042E0,5.867797852E-2,2.203417969E-1,9.818831635E0,9.821478925E0
1.185635042E0,6.436614990E-2,2.154020691E-1,9.833800507E0,9.836369933E0
1.195667042E0,3.861968994E-2,2.167492676E-1,9.819131012E0,9.821598931E0
1.205698042E0,5.777984619E-2,2.203417969E-1,9.811945953E0,9.814589773E0
1.215729042E0,4.834945679E-2,1.947450256E-1,9.796228638E0,9.798283463E0
1.225761042E0,4.191284180E-2,2.122586060E-1,9.814340973E0,9.816725479E0
1.235792042E0,5.463638306E-2,2.158511353E-1,9.826465759E0,9.828988054E0
1.245824042E0,4.430786133E-2,2.182461548E-1,9.821825409E0,9.824349797E0
1.255855042E0,4.385879517E-2,2.246827698E-1,9.801168365E0,9.803841455E0
1.265886042E0,3.053649902E-2,2.276765442E-1,9.813592529E0,9.816280732E0
1.275918042E0,5.179229736E-2,2.100132751E-1,9.826316071E0,9.828696533E0
1.285949042E0,4.715194702E-2,2.293231201E-1,9.830507355E0,9.833294832E0
1.295980042E0,4.655319214E-2,2.237846375E-1,9.815089417E0,9.817750609E0
1.306012042E0,4.056564331E-2,2.201921082E-1,9.816286926E0,9.818840011E0
1.316043042E0,4.355941772E-2,2.227368164E-1,9.814191284E0,9.816815149E0
1.326074042E0,3.173400879E-2,2.189945984E-1,9.819280701E0,9.821773728E0
1.336106042E0,4.340972900E-2,2.203417969E-1,9.813143463E0,9.815712890E0
1.346137042E0,4.505630493E-2,2.228865051E-1,9.806108093E0,9.808744283E0
1.356168042E0,5.134323120E-2,2.267784119E-1,9.805659027E0,9.808415444E0
1.366200042E0,5.074447632E-2,2.300715637E-1,9.823771362E0,9.826596140E0
1.376231042E0,4.266128540E-2,2.255809021E-1,9.820029144E0,9.822712412E0
1.386262042E0,4.805007935E-2,2.050735474E-1,9.799521790E0,9.801785106E0
1.396294042E0,5.209167480E-2,2.131567383E-1,9.802515564E0,9.804971225E0
1.406325042E0,4.849914551E-2,2.171983337E-1,9.799970856E0,9.802497440E0
1.416356042E0,4.655319214E-2,2.248324585E-1,9.812844086E0,9.815529832E0
1.426388042E0,5.987548828E-2,2.089654541E-1,9.831106110E0,9.833508986E0
1.436419042E0,6.391708374E-2,2.131567383E-1,9.810149689E0,9.812673341E0
1.446450042E0,6.346801758E-2,2.113604736E-1,9.812095642E0,9.814577033E0
1.456482042E0,5.927673340E-2,2.076182556E-1,9.821975098E0,9.824348013E0
1.466513042E0,6.346801758E-2,2.103126526E-1,9.823172607E0,9.825628717E0
1.476544042E0,5.343887329E-2,2.201921082E-1,9.812844086E0,9.815459710E0
1.486576042E0,5.284011841E-2,2.222877502E-1,9.822723541E0,9.825380486E0
1.496607042E0,4.775070190E-2,2.212399292E-1,9.816137238E0,9.818746229E0
1.506638042E0,4.236190796E-2,2.118095398E-1,9.814191284E0,9.816568055E0
1.516670042E0,5.403762817E-2,2.055226135E-1,9.832902374E0,9.835198458E0
1.526701042E0,3.891906738E-2,2.128573608E-1,9.817484436E0,9.819868818E0
1.536732042E0,4.715194702E-2,2.203417969E-1,9.816137238E0,9.818723139E0
1.546764042E0,4.745132446E-2,2.224374390E-1,9.818382568E0,9.821016561E0
1.556795042E0,6.301895142E-2,2.330653381E-1,9.811646576E0,9.814616619E0
1.566826042E0,3.981719971E-2,2.240840149E-1,9.817185059E0,9.819822887E0
1.576858042E0,3.637435913E-2,2.182461548E-1,9.830806732E0,9.833296267E0
1.586889042E0,3.023712158E-2,2.270777893E-1,9.819729767E0,9.822401504E0
1.596920042E0,3.427871704E-2,2.212399292E-1,9.801018677E0,9.803575329E0
1.606952042E0,2.260299683E-2,2.249821472E-1,9.800569611E0,9.803177676E0
1.616983042E0,3.637435913E-2,2.154020691E-1,9.828860779E0,9.831288082E0
1.627014042E0,4.625381470E-2,2.177970886E-1,9.826615448E0,9.829137610E0
1.637046042E0,4.520599365E-2,2.207908630E-1,9.824220428E0,9.826805138E0
1.647077042E0,5.867797852E-2,2.148033142E-1,9.802066498E0,9.804595412E0
1.657108042E0,5.628295898E-2,2.165995789E-1,9.799222412E0,9.801777544E0
1.667140042E0,6.271957397E-2,2.192939758E-1,9.820777588E0,9.823425880E0
1.677171042E0,7.185058594E-2,2.203417969E-1,9.806706848E0,9.809445052E0
1.687202042E0,7.409591675E-2,2.149530029E-1,9.812245331E0,9.814879186E0
1.697234042E0,6.975494385E-2,2.197430420E-1,9.819879456E0,9.822585468E0
1.707265042E0,5.673202515E-2,2.086660767E-1,9.821526031E0,9.823906231E0
1.717297042E0,5.733078003E-2,2.101629639E-1,9.813293152E0,9.815710763E0
1.727328042E0,4.445755005E-2,2.082170105E-1,9.795330505E0,9.797644130E0
1.737359042E0,4.864883423E-2,2.103126526E-1,9.813592529E0,9.815966404E0
1.747391042E0,4.176315308E-2,2.258802795E-1,9.825417938E0,9.828102753E0
1.757422042E0,4.715194702E-2,2.209405518E-1,9.833800507E0,9.836395195E0
1.767453042E0,3.248245239E-2,2.257305908E-1,9.816286926E0,9.818935708E0
1.777485042E0,4.116439819E-2,2.356100464E-1,9.793983307E0,9.796903369E0
1.787516042E0,4.056564331E-2,2.139051819E-1,9.798324280E0,9.800742813E0
1.797547042E0,3.083587646E-2,2.161505127E-1,9.815089417E0,9.817517616E0
1.807579042E0,2.724334717E-2,2.180964661E-1,9.803264008E0,9.805727585E0
1.817610042E0,4.340972900E-2,2.067201233E-1,9.821076965E0,9.823348226E0
1.827641042E0,3.547622681E-2,2.142045593E-1,9.831405487E0,9.833802724E0
1.837673042E0,3.173400879E-2,2.243833923E-1,9.818681946E0,9.821296763E0
1.847704042E0,3.966751099E-2,2.145039368E-1,9.810598755E0,9.813023661E0
1.857735042E0,4.221221924E-2,2.240840149E-1,9.810598755E0,9.813248364E0
1.867767042E0,5.478607178E-2,2.251318359E-1,9.826166382E0,9.828897783E0
1.877798042E0,5.912704468E-2,2.245330811E-1,9.834848328E0,9.837588767E0
1.887829042E0,4.879852295E-2,2.203417969E-1,9.825268250E0,9.827859786E0
1.897861042E0,4.281097412E-2,2.109114075E-1,9.804611206E0,9.806972892E0
1.907892042E0,6.316864014E-2,2.112107849E-1,9.810449066E0,9.812925718E0
1.917923042E0,5.089416504E-2,2.149530029E-1,9.809251556E0,9.811738434E0
1.927955042E0,4.760101318E-2,2.305206299E-1,9.818681946E0,9.821502979E0
1.937986042E0,6.256988525E-2,2.239343262E-1,9.817185059E0,9.819938088E0
1.948017042E0,4.505630493E-2,2.227368164E-1,9.817634125E0,9.820263824E0
1.958048917E0,5.014572144E-2,2.165995789E-1,9.812694397E0,9.815212749E0
1.968079917E0,4.939727783E-2,2.177970886E-1,9.824968872E0,9.827506754E0
1.978110917E0,6.795867920E-2,2.073188782E-1,9.804910583E0,9.807337613E0
1.988142917E0,4.819976807E-2,2.207908630E-1,9.803114319E0,9.805718850E0
1.998173917E0,4.026626587E-2,2.149530029E-1,9.835147705E0,9.837578795E0
2.008204917E0,6.242019653E-2,2.077679443E-1,9.823921051E0,9.826316126E0
2.018236917E0,4.281097412E-2,2.112107849E-1,9.798324280E0,9.800693928E0
2.028267917E0,4.520599365E-2,2.152523804E-1,9.804611206E0,9.807077958E0
2.038298917E0,4.550537109E-2,2.155517578E-1,9.821376343E0,9.823846831E0
2.048330917E0,5.358856201E-2,2.192939758E-1,9.829010468E0,9.831602532E0
2.058361917E0,4.685256958E-2,2.091151428E-1,9.821825409E0,9.824163001E0
2.068392917E0,3.697311401E-2,2.076182556E-1,9.809550934E0,9.811817460E0
2.078424917E0,3.502716064E-2,2.143542480E-1,9.814640350E0,9.817043336E0
2.088455917E0,4.071533203E-2,2.133064270E-1,9.805359650E0,9.807764028E0
2.098487917E0,5.313949585E-2,2.031275940E-1,9.813143463E0,9.815389409E0
2.108518917E0,5.523513794E-2,2.145039368E-1,9.822573853E0,9.825070989E0
2.118549917E0,3.832031250E-2,2.201921082E-1,9.813143463E0,9.815688343E0
2.128581917E0,5.284011841E-2,2.218386841E-1,9.826316071E0,9.828961898E0
2.138612917E0,4.745132446E-2,2.160008240E-1,9.817185059E0,9.819675680E0
2.148643917E0,3.861968994E-2,2.189945984E-1,9.799671478E0,9.802194203E0
2.158675917E0,4.864883423E-2,2.215393066E-1,9.828262024E0,9.830878943E0
2.168706917E0,2.619552612E-2,2.243833923E-1,9.833351440E0,9.835946048E0
2.178737917E0,4.655319214E-2,2.119592285E-1,9.824519806E0,9.826916268E0
2.188769917E0,5.313949585E-2,2.157014465E-1,9.819280701E0,9.821793339E0
2.198800917E0,5.807922363E-2,2.185455322E-1,9.810598755E0,9.813204536E0
2.208831917E0,4.460723877E-2,2.077679443E-1,9.817035370E0,9.819335048E0
2.218863917E0,4.715194702E-2,2.136058044E-1,9.818232880E0,9.820669408E0
2.228894917E0,5.403762817E-2,2.201921082E-1,9.815089417E0,9.817707720E0
2.238925917E0,4.909790039E-2,2.143542480E-1,9.813293152E0,9.815756763E0
2.248957917E0,5.448669434E-2,2.234852600E-1,9.807455292E0,9.810152586E0
2.258988917E0,4.834945679E-2,2.170486450E-1,9.811047821E0,9.813567503E0
2.269019917E0,5.822891235E-2,2.221380615E-1,9.815688171E0,9.818374112E0
2.279051917E0,4.760101318E-2,2.188449097E-1,9.817484436E0,9.820038676E0
2.289082917E0,5.583389282E-2,2.263293457E-1,9.823921051E0,9.826686482E0
2.299113917E0,5.748046875E-2,2.163002014E-1,9.821226654E0,9.823776401E0
2.309145917E0,4.909790039E-2,2.098635864E-1,9.803264008E0,9.805633000E0
2.319176917E0,4.236190796E-2,2.228865051E-1,9.797575836E0,9.800202304E0
2.329207917E0,5.448669434E-2,2.260299683E-1,9.826166382E0,9.828916731E0
2.339239917E0,3.233276367E-2,2.152523804E-1,9.820627899E0,9.823039821E0
2.349270917E0,4.790039063E-2,2.195933533E-1,9.828112335E0,9.830681958E0
2.359301917E0,4.490661621E-2,2.167492676E-1,9.815837860E0,9.818333349E0
2.369333917E0,4.415817261E-2,2.185455322E-1,9.808503113E0,9.811036918E0
2.379364917E0,5.373825073E-2,2.180964661E-1,9.801018677E0,9.803592248E0
2.389395917E0,5.523513794E-2,2.127076721E-1,9.834698639E0,9.837153694E0
2.399427917E0,5.897735596E-2,2.088157654E-1,9.823172607E0,9.825568809E0
2.409458917E0,5.688171387E-2,2.130070496E-1,9.814640350E0,9.817116315E0
2.419489917E0,4.760101318E-2,2.089654541E-1,9.812694397E0,9.815034577E0
2.429521917E0,5.014572144E-2,2.032772827E-1,9.815538483E0,9.817771231E0
2.439552917E0,4.056564331E-2,2.053729248E-1,9.824968872E0,9.827198835E0
2.449583917E0,3.772155762E-2,2.224374390E-1,9.816735992E0,9.819328229E0
2.459615917E0,4.625381470E-2,2.231858826E-1,9.815987549E0,9.818633454E0
2.469646917E0,4.236190796E-2,2.233355713E-1,9.818382568E0,9.821013673E0
2.479678917E0,5.553451538E-2,2.206411743E-1,9.810598755E0,9.813236700E0
2.489709917E0,3.682342529E-2,2.149530029E-1,9.815239105E0,9.817661608E0
2.499740917E0,4.281097412E-2,2.183958435E-1,9.819131012E0,9.821652781E0
2.509772917E0,3.547622681E-2,2.177970886E-1,9.824669495E0,9.827147339E0
2.519803917E0,3.233276367E-2,2.091151428E-1,9.837243347E0,9.839518851E0
2.529834917E0,4.011657715E-2,2.279759216E-1,9.815089417E0,9.817818628E0
2.539866917E0,3.906875610E-2,2.261796570E-1,9.812544708E0,9.815228844E0
2.549897917E0,4.999603271E-2,2.145039368E-1,9.807305603E0,9.809778526E0
2.559928917E0,4.355941772E-2,2.109114075E-1,9.794132996E0,9.796500507E0
2.569960917E0,5.209167480E-2,2.261796570E-1,9.817783813E0,9.820526961E0
2.579991917E0,6.197113037E-2,2.122586060E-1,9.836494904E0,9.838979933E0
2.590022917E0,6.391708374E-2,2.236349487E-1,9.807455292E0,9.810212907E0
2.600054917E0,5.763015747E-2,2.185455322E-1,9.815089417E0,9.817691360E0
2.610085917E0,5.703140259E-2,2.255809021E-1,9.812694397E0,9.815452646E0
2.620116917E0,5.328918457E-2,2.285746765E-1,9.797126770E0,9.799937707E0
2.630148917E0,8.098159790E-2,2.142045593E-1,9.830507355E0,9.833174282E0
2.640179917E0,6.855743408E-2,2.089654541E-1,9.823022919E0,9.825484514E0
2.650210917E0,7.214996338E-2,2.433938599E-1,9.813293152E0,9.816576219E0
2.660242917E0,8.652008057E-2,2.377056885E-1,9.811796265E0,9.815056579E0
2.670273917E0,6.586303711E-2,2.333647156E-1,9.811646576E0,9.814642406E0
2.680304917E0,1.945953369E-2,2.125579834E-1,9.811945953E0,9.814267317E0
2.690336917E0,-2.245330811E-3,2.118095398E-1,9.830357666E0,9.832639532E0
2.700367917E0,1.197509766E-3,2.107617188E-1,9.826914825E0,9.829174783E0
2.710398917E0,3.592529297E-3,2.245330811E-1,9.824669495E0,9.827235557E0
2.720430917E0,3.742218018E-2,2.157014465E-1,9.815688171E0,9.818129242E0
2.730461917E0,5.897735596E-2,2.332150269E-1,9.807155914E0,9.810105744E0
2.740492917E0,4.445755005E-2,2.272274780E-1,9.801916809E0,9.804651036E0
2.750524917E0,3.293151855E-2,2.228865051E-1,9.821975098E0,9.824558906E0
2.760555917E0,1.317260742E-2,2.183958435E-1,9.830058289E0,9.832492879E0
2.770586917E0,3.203338623E-2,2.064207458E-1,9.824819183E0,9.827039618E0
2.780618917E0,2.709365845E-2,1.996847534E-1,9.828262024E0,9.830327689E0
2.790649917E0,4.670288086E-2,2.188449097E-1,9.809550934E0,9.812102923E0
2.800680917E0,5.613327026E-2,2.323168945E-1,9.796677704E0,9.799592651E0
2.810712917E0,6.376739502E-2,2.293231201E-1,9.805958405E0,9.808846803E0
2.820743917E0,5.703140259E-2,2.158511353E-1,9.820478210E0,9.823015656E0
2.830775917E0,7.095245361E-2,2.326162720E-1,9.824819183E0,9.827828680E0
2.840806917E0,6.586303711E-2,2.157014465E-1,9.833052063E0,9.835638156E0
2.850837917E0,6.062393188E-2,2.173480225E-1,9.814939728E0,9.817533157E0
2.860869917E0,5.837860107E-2,2.076182556E-1,9.790690155E0,9.793065256E0
2.870900917E0,6.750961304E-2,2.148033142E-1,9.789941711E0,9.792530660E0
2.880931917E0,6.451583862E-2,2.098635864E-1,9.812245331E0,9.814701394E0
2.890963917E0,6.765930176E-2,2.233355713E-1,9.825867004E0,9.828637695E0
2.900994917E0,7.514373779E-2,2.189945984E-1,9.815388794E0,9.818119086E0
2.911025917E0,5.194198608E-2,2.249821472E-1,9.799222412E0,9.801942400E0
2.921057917E0,4.580474854E-2,2.273771667E-1,9.814490662E0,9.817231045E0
2.931088917E0,6.062393188E-2,2.149530029E-1,9.813442841E0,9.815983926E0
2.941119917E0,6.750961304E-2,2.171983337E-1,9.832004242E0,9.834634720E0
2.951151917E0,5.403762817E-2,2.188449097E-1,9.822873230E0,9.825459361E0
2.961183792E0,2.844085693E-2,2.086660767E-1,9.817185059E0,9.819443614E0
2.971214792E0,3.323089600E-2,2.140548706E-1,9.814640350E0,9.817030559E0
2.981246792E0,2.978805542E-2,2.040257263E-1,9.817484436E0,9.819649407E0
2.991277792E0,2.409988403E-2,2.219883728E-1,9.815987549E0,9.818526936E0
3.001308792E0,2.574645996E-2,2.291734314E-1,9.818831635E0,9.821539493E0
3.011340792E0,4.311035156E-2,2.173480225E-1,9.817035370E0,9.819535738E0
3.021371792E0,2.185455322E-2,2.282752991E-1,9.817783813E0,9.820461610E0
3.031402792E0,3.203338623E-2,2.218386841E-1,9.823172607E0,9.825729419E0
3.041434792E0,3.412902832E-2,2.195933533E-1,9.830956421E0,9.833467861E0
3.051465792E0,2.829116821E-2,2.164498901E-1,9.820478210E0,9.822904012E0
3.061497792E0,3.772155762E-2,2.073188782E-1,9.834249573E0,9.836506936E0
3.071528792E0,5.239105225E-2,2.065704346E-1,9.838590546E0,9.840898338E0
3.081559792E0,6.466552734E-2,2.122586060E-1,9.814939728E0,9.817447591E0
3.091591792E0,5.179229736E-2,2.163002014E-1,9.792187042E0,9.794712619E0
3.101622792E0,7.110214233E-2,2.160008240E-1,9.813592529E0,9.816226882E0
